fips,yr,census2017M,v2_dollars,ratio,cagr,flag,corrected,corr_cagr
19169,2018,26.601,23694457.0,0.8907355738506071,-0.10926442614939291,ok,23694457.0,-0.10926442614939291
19099,2018,13.404,14050570.0,1.0482370934049536,0.048237093404953635,ok,14050570.0,0.048237093404953635
19155,2018,42.48,44958746.0,1.0583508945386064,0.058350894538606424,ok,44958746.0,0.058350894538606424
13303,2018,8.641,15555556.0,1.8002032172202291,0.8002032172202291,needs_verify_after_correct,15555556.0,0.8002032172202291
48209,2018,70.285,85189021.0,1.2120512342605108,0.21205123426051076,ok,85189021.0,0.21205123426051076
48473,2018,20.981,25767668.0,1.2281429865116058,0.2281429865116058,ok,25767668.0,0.2281429865116058
53005,2020,27.594,0.0,0.0,,needs_verify_after_correct,0.0,
39111,2020,2.673,9124174.0,3.413458286569398,0.5056760187193734,ok,9124174.0,0.5056760187193734
41065,2021,11.845,10296406.0,0.8692617982271,-0.03442136330390866,ok,10296406.0,-0.03442136330390866
54031,2021,4.148,4339088.0,1.0460675024108006,0.011323100810793907,ok,4339088.0,0.011323100810793907
26105,2021,13.593,123500276.0,9.085579048039433,0.7361536304621821,needs_verify_after_correct,123500276.0,0.7361536304621821
48447,2021,0.353,1648516.0,4.670016997167139,0.47004156783722295,ok,1648516.0,0.47004156783722295
48299,2021,11.931,14371217.0,1.2045274495012992,0.04762095151092538,ok,14371217.0,0.04762095151092538
48179,2022,9.014,9288475.0,1.030449855779898,0.006017122605595615,ok,9288475.0,0.006017122605595615
48277,2022,11.809,15643460.0,1.3247065797273265,0.057849630475358405,ok,15643460.0,0.057849630475358405
48279,2022,9.288,8641234.0,0.9303654177433247,-0.014331876263624754,ok,8641234.0,-0.014331876263624754
54109,2022,4.385,4185682.0,0.954545496009122,-0.00926084620375911,ok,4185682.0,-0.00926084620375911
48107,2022,1.366,196620.0,0.1439385065885798,-0.32136633721641816,needs_verify_after_correct,196620.0,-0.32136633721641816
48099,2022,12.062,15258846.0,1.2650344884762064,0.048142842897059834,ok,15258846.0,0.048142842897059834
18167,2022,31.091,29785210.0,0.9580010292367566,-0.008544571194650019,ok,29785210.0,-0.008544571194650019
28047,2022,58.102,73942229.0,1.2726279474028432,0.04939814279299948,ok,73942229.0,0.04939814279299948
28035,2023,30.117,36655489.0,1.2171029318989275,0.033287601057930605,ok,36655489.0,0.033287601057930605
18095,2023,55.189,26306497.0,0.4766619616227871,-0.1161706569777956,ok,26306497.0,-0.1161706569777956
13271,2023,4.393,5492888.0,1.2503728659230595,0.0379424083597828,ok,5492888.0,0.0379424083597828
13095,2023,33.347,45778263.0,1.3727850481302666,0.05422608220489189,ok,45778263.0,0.05422608220489189
48241,2023,14.196,16782853.0,1.1822240772048465,0.028292417364708777,ok,16782853.0,0.028292417364708777
48019,2023,14.132,17845865.0,1.2627982592697424,0.03965439962309736,ok,17845865.0,0.03965439962309736
48187,2023,40.568,65166655.0,1.6063561181226582,0.08219861043398935,ok,65166655.0,0.08219861043398935
38077,2023,8.476,9474891.0,1.1178493393109958,0.018741220637248146,ok,9474891.0,0.018741220637248146
19107,2023,5.754,6347576.0,1.1031588460201598,0.01649756346866349,ok,6347576.0,0.01649756346866349
19085,2023,7.66,9722736.0,1.269286684073107,0.040542813204224926,ok,9722736.0,0.040542813204224926
19039,2023,5.268,4878532.0,0.9260690964312832,-0.012719486272037228,ok,4878532.0,-0.012719486272037228
31111,2023,13.7,16748195.0,1.2224959854014599,0.03404928883873737,ok,16748195.0,0.03404928883873737
49049,2023,46.728,77011204.0,1.6480740455401472,0.08683292503296425,ok,77011204.0,0.08683292503296425
19041,2023,7.665,8604277.0,1.1225410306588388,0.019452598888322736,ok,8604277.0,0.019452598888322736
39007,2023,16.376,14677.0,0.0008962506106497312,-0.6894928697545105,likely_div1000_low,14677000.0,-0.01809023870169535
39055,2023,31.163,33259437.0,1.0672732727914513,0.010910262989856978,ok,33259437.0,0.010910262989856978
38059,2024,14.512,12272055.0,0.8456487734288864,-0.02366563750663897,ok,12272055.0,-0.02366563750663897
38015,2024,20.521,25187609.0,1.2274065104039764,0.029704550021693255,ok,25187609.0,0.029704550021693255
29215,2024,8.973,28361833.0,3.1607971692856345,0.17868978084882547,ok,28361833.0,0.17868978084882547
29099,2024,10.531,24484734.0,2.325015098281265,0.12809724768133268,ok,24484734.0,0.12809724768133268
51053,2024,30.644,41139198.0,1.3424878605926118,0.04297262501247867,ok,41139198.0,0.04297262501247867
32007,2024,15.783,31232197.0,1.9788504720268643,0.1024139781247635,ok,31232197.0,0.1024139781247635
32031,2024,190.723,290680119.0,1.524095777646115,0.06204913256022926,ok,290680119.0,0.06204913256022926
53021,2024,12.623,16709289.0,1.3237177374633606,0.040876829940566406,ok,16709289.0,0.040876829940566406
41007,2024,12.664,18791195.0,1.4838277795325332,0.05799437031082544,ok,18791195.0,0.05799437031082544
41009,2024,12.509,15728903.0,1.2574069070269407,0.03326289639642921,ok,15728903.0,0.03326289639642921
41011,2024,10.557,13145204.0,1.245164724827129,0.03181973431648233,ok,13145204.0,0.03181973431648233
41019,2024,10.002,13188783.0,1.3186145770845832,0.04030262913030391,ok,13188783.0,0.04030262913030391
51107,2024,1134.525,2179709880.0,1.9212532822106168,0.0977718471711726,ok,2179709880.0,0.0977718471711726
51003,2024,167.327,281918666.0,1.6848366731011732,0.07737129696045142,ok,281918666.0,0.07737129696045142
51019,2024,66.168,78906265.0,1.1925139795671622,0.025470931428873245,ok,78906265.0,0.025470931428873245
19181,2024,13.175,18479891.0,1.4026482732447818,0.04952474623491532,ok,18479891.0,0.04952474623491532
19125,2024,12.837,14088141.0,1.0974636597335825,0.013374615392234723,ok,14088141.0,0.013374615392234723
19083,2024,7.603,10033913.0,1.3197307641720373,0.040428383556125436,ok,10033913.0,0.040428383556125436
19187,2024,12.931,17710252.0,1.3695964735905963,0.045955559710877836,ok,17710252.0,0.045955559710877836
04025,2024,54.756,73187972.0,1.3366201329534664,0.04232017174528857,ok,73187972.0,0.04232017174528857
41035,2024,12.918,16790260.0,1.299756928317077,0.038164131979849136,ok,16790260.0,0.038164131979849136
37023,2024,48.236,66626073.0,1.3812520316775851,0.04722256110273859,ok,66626073.0,0.04722256110273859
37039,2024,17.213,28110190.0,1.6330790681461687,0.07257977077086752,ok,28110190.0,0.07257977077086752
45033,2024,11.055,11062204.0,1.0006516508367254,9.306698825128912e-05,ok,11062204.0,9.306698825128912e-05
45039,2024,26.262,30383837.0,1.1569506130530804,0.021045214917797095,ok,30383837.0,0.021045214917797095
45063,2024,112.7,145514870.0,1.291170097604259,0.03718154346876723,ok,145514870.0,0.03718154346876723
45077,2024,29.521,63098879.0,2.1374234951390534,0.11462101142190306,ok,63098879.0,0.11462101142190306
45087,2024,12.225,13989380.0,1.1443255623721882,0.019446005467608884,ok,13989380.0,0.019446005467608884
41043,2024,33.842,50471792.0,1.4913950712132853,0.05876349195317698,ok,50471792.0,0.05876349195317698
51153,2024,780.642,1233906000000.0,1580.629789327246,1.8640179629628788,likely_x1000_high,1233906000.0,0.0675895373609614
51095,2024,128.094,163483990.0,1.2762814027198777,0.03546448039719419,ok,163483990.0,0.03546448039719419
41053,2024,14.008,16746991.0,1.1955304825813822,0.025841096356519433,ok,16746991.0,0.025841096356519433
51083,2024,26.818,33188444.0,1.2375435901260348,0.030915167499278695,ok,33188444.0,0.030915167499278695
