county_fips,dcname,city,mw_peak,sp_op_year,announce_year,confidence,source_url,evidence
32003,Henderson-1,Henderson,60.0,2020,2018,H,https://lasvegassun.com/news/2018/nov/15/google-is-cleared-to-build-600-million-data-center/,Nevada GOED approved Google $600M Henderson data center Nov 15 2018; first public report Oct 11 2018 (Review-Journal); groundbreaking Jul 1 2019
32003,Henderson-2,Henderson,60.0,2020,2020,H,https://lasvegassun.com/news/2020/sep/16/google-to-invest-additional-600m-at-henderson-data/,Google announced additional $600M Henderson expansion on Sep 16 2020 doubling original investment to $1.2B; GOED abatement approved same date
32003,Henderson-3,Henderson,60.0,2025,2024,M,https://www.8newsnow.com/news/local-news/google-to-invest-additional-600m-into-site-for-henderson-data-center/,Google announced $400M in Nevada data center enhancements (Henderson + Storey) in Aug 2024; Henderson-3 op. 2025 maps to this third-wave expansion; no dedicated press release found
32031,Reno 3 (4 more sections),Sparks,54.9333333,2019,2019,H,https://www.nnbw.com/news/2019/feb/14/apple-finishes-reno-warehouse-announces-northern-n/,Apple announced west campus expansion at Reno Technology Park Feb 14 2019 as part of $1B five-year U.S. data center investment; Reno 3 is among the west-campus buildings announced at that time
32031,Reno 4 (4 more sections),Sparks,54.9333333,2019,2019,H,https://www.nnbw.com/news/2019/feb/14/apple-finishes-reno-warehouse-announces-northern-n/,Same Feb 2019 Apple announcement of west campus expansion at Reno Technology Park; Reno 4 is a second building within same announcement wave; both opened 2019
38021,"Ellendale, ND",Ellendale,180.0,2023,2022,H,https://www.globenewswire.com/en/news-release/2022/09/19/2518268/0/en/Applied-Blockchain-Announces-Groundbreaking-of-New-180MW-Facility-in-Ellendale-North-Dakota.html,Applied Blockchain (later Applied Digital) groundbreaking Sep 8 2022; GlobeNewswire press release Sep 19 2022; 180 MW crypto hosting facility; energized Mar 2023
38021,"Ellendale, ND",Ellendale,180.0,2023,2022,H,https://www.globenewswire.com/en/news-release/2022/09/19/2518268/0/en/Applied-Blockchain-Announces-Groundbreaking-of-New-180MW-Facility-in-Ellendale-North-Dakota.html,Duplicate row in source data — same 180 MW Applied Blockchain/Applied Digital facility; same Sep 2022 groundbreaking announcement
38021,HPC datacenter North Dakota building 1,Ellendale,80.0,2025,2023,H,https://www.jamestownsun.com/news/applied-digital-breaks-ground-on-hpc-facility-at-ellendale-nd,Applied Digital broke ground on distinct 100 MW HPC facility at Ellendale campus Oct 2023; CoreWeave anchor tenant signed Mar 2024; building 1 reached 100 MW RFS Nov 2025
41059,PDX63,Umatilla,50.0,2022,2019,M,https://www.datacenterplanet.com/news/business/aws-gets-15yrs-tax-break-on-7th-oregon-campus/,Oct 2019 Umatilla County Board of Commissioners approved 15-yr tax exemption for AWS fourth Umatilla campus; PDX63 built 2020 per baxtel; county approval is the earliest public signal for this campus wave
41059,PDX130,Umatilla,50.0,2023,2019,M,https://www.datacenterplanet.com/news/business/aws-gets-15yrs-tax-break-on-7th-oregon-campus/,PDX130 on Wanapa/Powerline campus in Umatilla; same Oct 2019 Umatilla County tax exemption round covers the Umatilla campus expansion; no separate facility-level announcement found
41059,PDX131,Umatilla,50.0,2023,2019,M,https://www.datacenterplanet.com/news/business/aws-gets-15yrs-tax-break-on-7th-oregon-campus/,PDX131 on Wanapa/Powerline campus in Umatilla; same Oct 2019 county approval covers the Umatilla expansion cluster; no separate facility-level announcement found
41059,PDX138,Hermiston,50.0,2024,2022,H,https://hermistonherald.com/2022/09/29/hermiston-gives-amazon-tax-deal-to-build-new-data-centers/,Hermiston City Council approved Amazon tax deal for new Lind/Penney campus data centers Sep 26 2022; PDX138 at Hermiston maps to this Sep 2022 approval round; op. 2024
