county_fips,dcname,city,mw_peak,sp_op_year,announce_year,confidence,source_url,evidence
13121,ATL01-2,Atlanta,100.0,2025,2019,M,https://baxtel.com/data-center/stack-atlanta-atl01,"STACK ATL01 campus (T5/STACK) originally built 2012 via Fulton County Development Authority bonds; ATL01-2 is a neighbouring expansion at Webb Bridge Rd Alpharetta announced around 2019 acquisition — no standalone press release found for this second building"
13121,QTS Atlanta- Metro,Atlanta,52.7,2006,2000,H,https://www.datacenterknowledge.com/archives/2006/10/03/quality-tech-buys-960000-sf-atlanta-property,"MetroNexus/CoreLocation bought 1033 Jefferson St NW in 2000 and invested $80M to convert the former Sears warehouse as MTCA; QTS acquired in Oct 2006 — first public signal for the facility as a data center is 2000"
13217,Social Circle 1,Social Circle,50.0,2021,2018,H,https://www.wrdw.com/content/news/Facebook-to-build-new-data-center-in-Georgia-create-100-new-jobs-476139363.html,"Facebook announced Social Circle / Newton County data center campus on March 7 2018; first phase (Social Circle 1) came online 2021"
13217,Social Circle 2,Social Circle,50.0,2022,2018,H,https://www.commercialsearch.com/news/facebook-to-pour-1b-in-georgia-data-center-expansion/,"Second building part of same $1B campus announced March 2018; Facebook expansion disclosed in 2020 press release citing 1.5M sqft addition"
13217,Social Circle 3,Social Circle,50.0,2024,2018,M,https://www.datacenterdynamics.com/en/news/another-25-million-sq-ft-data-center-campus-proposed-outside-atlanta-georgia/,"Ongoing Meta Newton campus buildout — later phases trace to same 2018 announcement; no separate announcement found for phase 3 specifically"
13217,Social Circle 4,Social Circle,50.0,2025,2018,M,https://www.datacenterdynamics.com/en/news/another-25-million-sq-ft-data-center-campus-proposed-outside-atlanta-georgia/,"Same Meta Newton campus; phase 4 part of continuing expansion from 2018 original announcement; no separate press release found"
32029,US-RNO 2,Sparks,214.656,2024,2022,M,https://www.sec.gov/Archives/edgar/data/0001710583/000171058322000034/exhibit991pressreleasedate.htm,"Switch Q2 2022 earnings confirmed TAHOE RENO 2 under construction and pre-sold; opened H1 2023 per guidance; S&P records 2024 op year"
32029,US-RNO 4,Sparks,174.55679999999998,2024,2022,M,https://www.sec.gov/Archives/edgar/data/0001710583/000171058322000037/swch-20220630.htm,"Switch Q2 2022 10-Q discloses site development for TAHOE RENO 3/4/5; first public signal of TR4 is the 2022 campus expansion announcement"
32029,Supernap Tahoe Reno 1,Sparks,80.9856,2017,2015,H,https://www.nevadaappeal.com/news/2015/jan/16/1b-switch-data-center-in-storey-county-will-be-wor/,"Switch announced $1B Citadel Campus in Storey County on Jan 16 2015; groundbreaking Aug 2015; Tahoe Reno 1 opened Feb 2017"
32029,Supernap Tahoe Reno 3,Sparks,53.6256,2025,2022,M,https://www.sec.gov/Archives/edgar/data/0001710583/000171058322000037/swch-20220630.htm,"Switch Q2 2022 10-Q discloses site development costs for Tahoe Reno 3; first public mention of TR3 as a named project is mid-2022"
37039,"Marble 2, NC",Marble,69.0,2018,2017,L,https://baxtel.com/data-center/core-scientific-marble,"Core Scientific's Marble facility (former American Thread plant) launched in 2018 as first facility; S&P lists a separate 69MW Marble 2 — no standalone announcement found; likely same 2017-2018 site-acquisition/permit period as Marble 1"
48331,Texas,Rockdale,742.0,2019,2018,H,https://www.businesswire.com/news/home/20180806005156/en/Bitmain-Chooses-Rockdale-Texas-for-Newest-Blockchain-Data-Center,"Bitmain announced Rockdale blockchain data center on Aug 6 2018 via BusinessWire; 50MW facility opened Oct 2019; later expanded toward 300MW+"
48331,"Rockdale, Texas",Rockdale,450.0,2021,2019,H,https://ctcog.org/whinstone-us-breaks-ground-to-build-the-worlds-largest-bitcoin-mining-facility-in-rockdale-texas/,"Whinstone US broke ground Nov 2019 on world's largest Bitcoin mine at Rockdale; acquired by Riot Blockchain May 2021; S&P records second facility (450MW) as operational 2021"
