county_fips,dcname,operator,announce_year,confidence,own_or_campus,source_url,evidence
41049,PDX93,"Amazon.com, Inc.",2022,M,campus,https://www.oregonlive.com/silicon-forest/2022/05/amazon-seeks-tax-breaks-for-5-new-data-centers-worth-12-billion-in-remote-oregon-county.html,OregonLive May 5 2022 reported Amazon seeking CREZ enterprise-zone tax breaks for 5 new DCs; Baxtel places PDX93 on Olson Rd Campus (year built 2023/sp_op 2022); no building-specific prior announcement found — dated to wave 3 public filing.
41049,PDX109,"Amazon.com, Inc.",2022,M,campus,https://www.datacenterdynamics.com/en/news/aws-planning-at-least-four-more-data-centers-in-morrow-county-oregon/,DCD May 5 2022 first reported Bombing-Range-area campus plans; Baxtel places PDX109 on Tower Road East Campus (year built 2023/sp_op 2022); CREZ public hearing May 5 2022 covered five sites including two within Boardman area of influence.
41049,PDX110,"Amazon.com, Inc.",2022,M,campus,https://www.datacenterdynamics.com/en/news/aws-planning-at-least-four-more-data-centers-in-morrow-county-oregon/,Same Tower Road East Campus as PDX109; DCD/OregonLive May 2022 CREZ filing covers this campus; sp_op 2022 consistent with wave 3 construction starting 2021-2022.
41049,PDX111,"Amazon.com, Inc.",2022,M,campus,https://www.oregonlive.com/silicon-forest/2022/05/amazon-seeks-tax-breaks-for-5-new-data-centers-worth-12-billion-in-remote-oregon-county.html,Tower Road East Campus building per Baxtel proximity data; sp_op 2023 consistent with phase 2 of wave 3; wave 3 county/city vote early May 2023 and Port of Morrow final vote May 10 2023.
41049,PDX112,"Amazon.com, Inc.",2022,M,campus,https://www.oregonlive.com/silicon-forest/2022/05/amazon-seeks-tax-breaks-for-5-new-data-centers-worth-12-billion-in-remote-oregon-county.html,Tower Road East Campus building; sp_op 2024 consistent with later phase of wave 3 five-DC package; same CREZ application and abatement round as PDX109-111.
41049,PDX170,"Amazon.com, Inc.",2022,M,campus,https://ibewlu112.com/Jobs%20Report/Job%20Report%20August%2015%2C%202024.pdf,IBEW Aug 2024 job report places PDX170-174 on Internet Parkway Boardman; sp_op 2024 consistent with wave 3 final phase; no earlier standalone announcement found — assigned to May 2022 CREZ filing wave.
41049,PDX178,"Amazon.com, Inc.",2022,H,campus,https://www.datacenterdynamics.com/en/news/aws-planning-at-least-four-more-data-centers-in-morrow-county-oregon/,DCD May 5 2022 explicitly describes 127-acre Bombing Range Rd campus with four 215461 sq ft buildings; zoning approved March 2022; Baxtel and IBEW Aug 2024 confirm PDX178-181 on Bombing Range Rd campus.
41049,PDX179,"Amazon.com, Inc.",2022,H,campus,https://www.datacenterdynamics.com/en/news/aws-planning-at-least-four-more-data-centers-in-morrow-county-oregon/,Same Bombing Range campus as PDX178; IBEW Aug 2024 report lists PDX178-181 together at Bombing Range Rd south of I-84; campus zoning approved March 2022 per DCD.
41049,PDX180,"Amazon.com, Inc.",2022,H,campus,https://www.datacenterdynamics.com/en/news/aws-planning-at-least-four-more-data-centers-in-morrow-county-oregon/,Same Bombing Range campus as PDX178-179; Baxtel PDX180 page explicitly says "part of Amazon's Bombing Range Campus" with four 215461 sq ft buildings; sp_op 2024.
41049,PDX181,"Amazon.com, Inc.",2022,H,campus,https://www.datacenterdynamics.com/en/news/aws-planning-at-least-four-more-data-centers-in-morrow-county-oregon/,Same Bombing Range campus as PDX178-180; IBEW Aug 2024 confirms PDX178-181 cluster at Bombing Range Rd; Port of Morrow final LRZ approval May 10 2023; sp_op 2024.
